date,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
2020-11-23,3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
2020-11-24,3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
2020-11-25,3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
2020-11-26,3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
2020-11-27,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
2020-11-28,3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
2020-11-29,3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2020-11-30,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
2020-12-01,3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
2020-12-02,3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
2020-12-03,3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
2020-12-04,3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
2020-12-05,3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
2020-12-06,3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
2020-12-07,3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
2020-12-08,3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
2020-12-09,3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-12-10,3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-12-11,3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
2020-12-12,3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
2020-12-13,3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
2020-12-14,3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
2020-12-15,3780000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2020-12-16,3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
2020-12-17,3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-12-18,3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
2020-12-19,3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
2020-12-20,3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
2020-12-21,3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
2020-12-22,3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
2020-12-23,3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
2020-12-24,3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
2020-12-25,3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
2020-12-26,3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-12-27,3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
2020-12-28,3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished
2020-12-29,3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
2020-12-30,3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
2020-12-31,3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished
2021-01-01,3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
2021-01-02,3675000,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
2021-01-03,3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
2021-01-04,3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished
2021-01-05,3640000,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
2021-01-06,3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
2021-01-07,3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
2021-01-08,3640000,3000,2,1,2,yes,no,no,no,yes,0,no,furnished
2021-01-09,3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
2021-01-10,3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
2021-01-11,3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
2021-01-12,3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
2021-01-13,3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
2021-01-14,3633000,3520,3,1,1,yes,no,no,no,no,2,yes,unfurnished
2021-01-15,3605000,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2021-01-16,3605000,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
2021-01-17,3570000,3150,3,1,2,yes,no,yes,no,no,0,no,furnished
2021-01-18,3570000,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
2021-01-19,3570000,4500,2,1,1,no,no,no,no,no,0,no,furnished
2021-01-20,3570000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-01-21,3535000,3850,3,1,1,yes,no,no,no,no,2,no,unfurnished
2021-01-22,3500000,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
2021-01-23,3500000,3650,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-01-24,3500000,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
2021-01-25,3500000,2135,3,2,2,no,no,no,no,no,0,no,unfurnished
2021-01-26,3500000,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
2021-01-27,3500000,3990,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2021-01-28,3500000,7424,3,1,1,no,no,no,no,no,0,no,unfurnished
2021-01-29,3500000,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished
2021-01-30,3500000,3600,6,1,2,yes,no,no,no,no,1,no,unfurnished
2021-01-31,3500000,3640,2,1,1,yes,no,no,no,no,1,no,semi-furnished
2021-02-01,3500000,5900,2,1,1,yes,no,no,no,no,1,no,furnished
2021-02-02,3500000,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
2021-02-03,3500000,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
2021-02-04,3500000,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
2021-02-05,3500000,9500,3,1,2,yes,no,no,no,no,3,yes,unfurnished
2021-02-06,3500000,5880,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-07,3500000,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-08,3493000,4900,3,1,2,no,no,no,no,no,0,no,unfurnished
2021-02-09,3465000,3060,3,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-10,3465000,5320,2,1,1,yes,no,no,no,no,1,yes,unfurnished
2021-02-11,3465000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
2021-02-12,3430000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-13,3430000,3185,2,1,1,yes,no,no,no,no,2,no,unfurnished
2021-02-14,3430000,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-15,3430000,2145,3,1,3,yes,no,no,no,no,0,yes,furnished
2021-02-16,3430000,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
2021-02-17,3430000,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
2021-02-18,3423000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-19,3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
2021-02-20,3395000,3450,3,1,1,yes,no,yes,no,no,2,no,unfurnished
2021-02-21,3395000,3640,2,1,1,yes,no,no,no,no,0,no,furnished
2021-02-22,3360000,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
2021-02-23,3360000,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
2021-02-24,3360000,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished
2021-02-25,3360000,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-26,3360000,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
2021-02-27,3360000,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished
2021-02-28,3360000,3100,3,1,2,no,no,yes,no,no,0,no,semi-furnished
2021-03-01,3360000,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
2021-03-02,3353000,2700,3,1,1,no,no,no,no,no,0,no,furnished
2021-03-03,3332000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
2021-03-04,3325000,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished
2021-03-05,3325000,4775,4,1,2,yes,no,no,no,no,0,no,unfurnished
2021-03-06,3290000,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
2021-03-07,3290000,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished
2021-03-08,3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
2021-03-09,3290000,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
2021-03-10,3290000,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
2021-03-11,3290000,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-03-12,3290000,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
2021-03-13,3290000,5880,3,1,1,yes,no,no,no,no,1,no,unfurnished
2021-03-14,3255000,4500,2,1,1,no,no,no,no,no,0,no,semi-furnished
2021-03-15,3255000,3930,2,1,1,no,no,no,no,no,0,no,unfurnished
2021-03-16,3234000,3640,4,1,2,yes,no,yes,no,no,0,no,unfurnished
2021-03-17,3220000,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-03-18,3220000,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished
2021-03-19,3220000,4320,3,1,1,no,no,no,no,no,1,no,unfurnished
2021-03-20,3220000,3120,3,1,2,no,no,no,no,no,0,no,furnished
2021-03-21,3150000,3450,1,1,1,yes,no,no,no,no,0,no,furnished
2021-03-22,3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
2021-03-23,3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
2021-03-24,3150000,4095,2,1,1,yes,no,no,no,no,2,no,semi-furnished
2021-03-25,3150000,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
2021-03-26,3150000,3450,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
2021-03-27,3150000,6750,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2021-03-28,3150000,9000,3,1,2,yes,no,no,no,no,2,no,semi-furnished
2021-03-29,3150000,3069,2,1,1,yes,no,no,no,no,1,no,unfurnished
2021-03-30,3143000,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
2021-03-31,3129000,5495,3,1,1,yes,no,yes,no,no,0,no,unfurnished
2021-04-01,3118850,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
2021-04-02,3115000,3000,3,1,1,no,no,no,no,yes,0,no,unfurnished
2021-04-03,3115000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-04-04,3115000,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-04-05,3087000,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
2021-04-06,3080000,4960,2,1,1,yes,no,yes,no,yes,0,no,unfurnished
2021-04-07,3080000,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
2021-04-08,3080000,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
2021-04-09,3080000,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
2021-04-10,3045000,3800,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-04-11,3010000,3090,3,1,2,no,no,no,no,no,0,no,semi-furnished
2021-04-12,3010000,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished
2021-04-13,3010000,2835,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2021-04-14,3010000,4600,2,1,1,yes,no,no,no,no,0,no,furnished
2021-04-15,3010000,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
2021-04-16,3010000,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-04-17,3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
2021-04-18,3003000,8050,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-04-19,2975000,4352,4,1,2,no,no,no,no,no,1,no,unfurnished
2021-04-20,2961000,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
2021-04-21,2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
2021-04-22,2940000,4960,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-04-23,2940000,3600,3,1,2,no,no,no,no,no,1,no,unfurnished
2021-04-24,2940000,3660,4,1,2,no,no,no,no,no,0,no,unfurnished
2021-04-25,2940000,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
2021-04-26,2940000,2700,2,1,1,no,no,no,no,no,0,no,furnished
2021-04-27,2940000,3150,3,1,2,no,no,no,no,no,0,no,unfurnished
2021-04-28,2940000,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished
2021-04-29,2870000,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
2021-04-30,2870000,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-01,2870000,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
2021-05-02,2870000,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished
2021-05-03,2852500,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished
2021-05-04,2835000,3300,3,1,2,no,no,no,no,no,1,no,semi-furnished
2021-05-05,2835000,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
2021-05-06,2835000,2640,2,1,1,no,no,no,no,no,1,no,furnished
2021-05-07,2800000,2650,3,1,2,yes,no,yes,no,no,1,no,unfurnished
2021-05-08,2800000,3960,3,1,1,yes,no,no,no,no,0,no,furnished
2021-05-09,2730000,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-10,2730000,4000,3,1,2,yes,no,no,no,no,1,no,unfurnished
2021-05-11,2695000,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-12,2660000,3934,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-13,2660000,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
2021-05-14,2660000,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
2021-05-15,2660000,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-16,2660000,2430,3,1,1,no,no,no,no,no,0,no,unfurnished
2021-05-17,2660000,3480,2,1,1,yes,no,no,no,no,1,no,semi-furnished
2021-05-18,2660000,4000,3,1,1,yes,no,no,no,no,0,no,semi-furnished
2021-05-19,2653000,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
2021-05-20,2653000,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
2021-05-21,2604000,2910,2,1,1,no,no,no,no,no,0,no,unfurnished
2021-05-22,2590000,3600,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-23,2590000,4400,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-05-24,2590000,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
2021-05-25,2520000,2880,3,1,1,no,no,no,no,no,0,no,unfurnished
2021-05-26,2520000,3180,3,1,1,no,no,no,no,no,0,no,unfurnished
2021-05-27,2520000,3000,2,1,2,yes,no,no,no,no,0,no,furnished
2021-05-28,2485000,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-05-29,2485000,3000,3,1,2,no,no,no,no,no,0,no,semi-furnished
2021-05-30,2450000,3210,3,1,2,yes,no,yes,no,no,0,no,unfurnished
2021-05-31,2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
2021-06-01,2450000,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
2021-06-02,2450000,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished
2021-06-03,2450000,4840,2,1,2,yes,no,no,no,no,0,no,unfurnished
2021-06-04,2450000,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-06-05,2408000,3635,2,1,1,no,no,no,no,no,0,no,unfurnished
2021-06-06,2380000,2475,3,1,2,yes,no,no,no,no,0,no,furnished
2021-06-07,2380000,2787,4,2,2,yes,no,no,no,no,0,no,furnished
2021-06-08,2380000,3264,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-06-09,2345000,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-06-10,2310000,3180,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-06-11,2275000,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
2021-06-12,2275000,3970,1,1,1,no,no,no,no,no,0,no,unfurnished
2021-06-13,2275000,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
2021-06-14,2240000,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
2021-06-15,2233000,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished
2021-06-16,2135000,3000,2,1,1,no,no,no,no,no,0,no,unfurnished
2021-06-17,2100000,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-06-18,2100000,3000,4,1,2,yes,no,no,no,no,0,no,unfurnished
2021-06-19,2100000,3360,2,1,1,yes,no,no,no,no,1,no,unfurnished
2021-06-20,1960000,3420,5,1,2,no,no,no,no,no,0,no,unfurnished
2021-06-21,1890000,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
2021-06-22,1890000,3649,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-06-23,1855000,2990,2,1,1,no,no,no,no,no,1,no,unfurnished
2021-06-24,1820000,3000,2,1,1,yes,no,yes,no,no,2,no,unfurnished
2021-06-25,1767150,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
2021-06-26,1750000,3620,2,1,1,yes,no,no,no,no,0,no,unfurnished
2021-06-27,1750000,2910,3,1,1,no,no,no,no,no,0,no,furnished
2021-06-28,1750000,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
